
Epoch[1] Iteration[76/268], loss: 4.8245, nitc_loss: 3.7995, ss_loss: 1.0346, citc_loss: 0.0092, ritc_loss: -0.0189, Base Lr: 1.49e-05
Epoch[1] Iteration[77/268], loss: 4.7463, nitc_loss: 3.7494, ss_loss: 1.0247, citc_loss: 0.0099, ritc_loss: -0.0377, Base Lr: 1.51e-05
Epoch[1] Iteration[78/268], loss: 4.8492, nitc_loss: 3.8061, ss_loss: 1.0410, citc_loss: 0.0097, ritc_loss: -0.0076, Base Lr: 1.52e-05
Epoch[1] Iteration[79/268], loss: 4.6989, nitc_loss: 3.7848, ss_loss: 0.9201, citc_loss: 0.0101, ritc_loss: -0.0161, Base Lr: 1.54e-05
Epoch[1] Iteration[80/268], loss: 4.7933, nitc_loss: 3.7214, ss_loss: 1.0535, citc_loss: 0.0097, ritc_loss: 0.0087, Base Lr: 1.56e-05
Epoch[1] Iteration[81/268], loss: 4.7946, nitc_loss: 3.7167, ss_loss: 1.0815, citc_loss: 0.0099, ritc_loss: -0.0134, Base Lr: 1.58e-05
Epoch[1] Iteration[82/268], loss: 4.7430, nitc_loss: 3.7567, ss_loss: 0.9966, citc_loss: 0.0100, ritc_loss: -0.0202, Base Lr: 1.60e-05
Epoch[1] Iteration[83/268], loss: 4.7741, nitc_loss: 3.7954, ss_loss: 0.9919, citc_loss: 0.0102, ritc_loss: -0.0234, Base Lr: 1.62e-05
Epoch[1] Iteration[84/268], loss: 4.8062, nitc_loss: 3.8368, ss_loss: 0.9726, citc_loss: 0.0098, ritc_loss: -0.0129, Base Lr: 1.64e-05
Epoch[1] Iteration[85/268], loss: 4.8934, nitc_loss: 3.8253, ss_loss: 1.0332, citc_loss: 0.0096, ritc_loss: 0.0254, Base Lr: 1.65e-05
Epoch[1] Iteration[86/268], loss: 4.8392, nitc_loss: 3.7727, ss_loss: 1.0323, citc_loss: 0.0100, ritc_loss: 0.0243, Base Lr: 1.67e-05
Epoch[1] Iteration[87/268], loss: 4.8200, nitc_loss: 3.7760, ss_loss: 1.0253, citc_loss: 0.0096, ritc_loss: 0.0092, Base Lr: 1.69e-05
Epoch[1] Iteration[88/268], loss: 4.7722, nitc_loss: 3.7670, ss_loss: 0.9911, citc_loss: 0.0099, ritc_loss: 0.0043, Base Lr: 1.71e-05
Epoch[1] Iteration[89/268], loss: 4.7121, nitc_loss: 3.7337, ss_loss: 0.9584, citc_loss: 0.0098, ritc_loss: 0.0102, Base Lr: 1.73e-05
Epoch[1] Iteration[90/268], loss: 4.7975, nitc_loss: 3.8179, ss_loss: 0.9806, citc_loss: 0.0096, ritc_loss: -0.0106, Base Lr: 1.75e-05
Epoch[1] Iteration[91/268], loss: 4.7664, nitc_loss: 3.7649, ss_loss: 1.0122, citc_loss: 0.0102, ritc_loss: -0.0209, Base Lr: 1.77e-05
Epoch[1] Iteration[92/268], loss: 4.7190, nitc_loss: 3.7227, ss_loss: 0.9896, citc_loss: 0.0101, ritc_loss: -0.0034, Base Lr: 1.78e-05
Epoch[1] Iteration[93/268], loss: 4.6298, nitc_loss: 3.6368, ss_loss: 0.9754, citc_loss: 0.0099, ritc_loss: 0.0076, Base Lr: 1.80e-05
Epoch[1] Iteration[94/268], loss: 4.6747, nitc_loss: 3.7249, ss_loss: 0.9505, citc_loss: 0.0103, ritc_loss: -0.0110, Base Lr: 1.82e-05
Epoch[1] Iteration[95/268], loss: 4.8914, nitc_loss: 3.8268, ss_loss: 1.0643, citc_loss: 0.0102, ritc_loss: -0.0099, Base Lr: 1.84e-05
Epoch[1] Iteration[96/268], loss: 4.7673, nitc_loss: 3.7937, ss_loss: 0.9945, citc_loss: 0.0103, ritc_loss: -0.0312, Base Lr: 1.86e-05
Epoch[1] Iteration[97/268], loss: 4.6033, nitc_loss: 3.7147, ss_loss: 0.8970, citc_loss: 0.0103, ritc_loss: -0.0188, Base Lr: 1.88e-05
Epoch[1] Iteration[98/268], loss: 4.7230, nitc_loss: 3.7572, ss_loss: 0.9610, citc_loss: 0.0105, ritc_loss: -0.0057, Base Lr: 1.89e-05
Epoch[1] Iteration[99/268], loss: 4.8589, nitc_loss: 3.8908, ss_loss: 0.9516, citc_loss: 0.0102, ritc_loss: 0.0063, Base Lr: 1.91e-05
Epoch[1] Iteration[100/268], loss: 4.7741, nitc_loss: 3.8429, ss_loss: 0.9271, citc_loss: 0.0103, ritc_loss: -0.0061, Base Lr: 1.93e-05
Epoch[1] Iteration[101/268], loss: 4.6373, nitc_loss: 3.6767, ss_loss: 0.9412, citc_loss: 0.0099, ritc_loss: 0.0094, Base Lr: 1.95e-05
Epoch[1] Iteration[102/268], loss: 4.6030, nitc_loss: 3.7201, ss_loss: 0.8701, citc_loss: 0.0101, ritc_loss: 0.0027, Base Lr: 1.97e-05
Epoch[1] Iteration[103/268], loss: 4.7865, nitc_loss: 3.7317, ss_loss: 1.0504, citc_loss: 0.0104, ritc_loss: -0.0060, Base Lr: 1.99e-05
Epoch[1] Iteration[104/268], loss: 4.5488, nitc_loss: 3.6433, ss_loss: 0.8810, citc_loss: 0.0109, ritc_loss: 0.0136, Base Lr: 2.01e-05
Epoch[1] Iteration[105/268], loss: 4.6330, nitc_loss: 3.6611, ss_loss: 0.9579, citc_loss: 0.0111, ritc_loss: 0.0030, Base Lr: 2.02e-05
Epoch[1] Iteration[106/268], loss: 4.6457, nitc_loss: 3.7821, ss_loss: 0.8582, citc_loss: 0.0117, ritc_loss: -0.0062, Base Lr: 2.04e-05
Epoch[1] Iteration[107/268], loss: 4.7366, nitc_loss: 3.7572, ss_loss: 0.9672, citc_loss: 0.0112, ritc_loss: 0.0010, Base Lr: 2.06e-05
Epoch[1] Iteration[108/268], loss: 4.6591, nitc_loss: 3.7427, ss_loss: 0.8898, citc_loss: 0.0115, ritc_loss: 0.0150, Base Lr: 2.08e-05
Epoch[1] Iteration[109/268], loss: 4.6528, nitc_loss: 3.7820, ss_loss: 0.8595, citc_loss: 0.0115, ritc_loss: -0.0003, Base Lr: 2.10e-05
Epoch[1] Iteration[110/268], loss: 4.6550, nitc_loss: 3.7880, ss_loss: 0.8495, citc_loss: 0.0116, ritc_loss: 0.0060, Base Lr: 2.12e-05
Epoch[1] Iteration[111/268], loss: 4.6066, nitc_loss: 3.7595, ss_loss: 0.8717, citc_loss: 0.0121, ritc_loss: -0.0367, Base Lr: 2.14e-05
Epoch[1] Iteration[112/268], loss: 4.6711, nitc_loss: 3.7633, ss_loss: 0.9061, citc_loss: 0.0119, ritc_loss: -0.0102, Base Lr: 2.15e-05
Epoch[1] Iteration[113/268], loss: 4.5076, nitc_loss: 3.7066, ss_loss: 0.7793, citc_loss: 0.0112, ritc_loss: 0.0105, Base Lr: 2.17e-05
Epoch[1] Iteration[114/268], loss: 4.7073, nitc_loss: 3.7202, ss_loss: 0.9927, citc_loss: 0.0109, ritc_loss: -0.0165, Base Lr: 2.19e-05
Epoch[1] Iteration[115/268], loss: 4.6951, nitc_loss: 3.7800, ss_loss: 0.8865, citc_loss: 0.0107, ritc_loss: 0.0179, Base Lr: 2.21e-05
Epoch[1] Iteration[116/268], loss: 4.5775, nitc_loss: 3.7233, ss_loss: 0.8500, citc_loss: 0.0107, ritc_loss: -0.0065, Base Lr: 2.23e-05
Epoch[1] Iteration[117/268], loss: 4.5853, nitc_loss: 3.7182, ss_loss: 0.8539, citc_loss: 0.0107, ritc_loss: 0.0025, Base Lr: 2.25e-05
Epoch[1] Iteration[118/268], loss: 4.5259, nitc_loss: 3.6915, ss_loss: 0.8078, citc_loss: 0.0108, ritc_loss: 0.0159, Base Lr: 2.27e-05
Epoch[1] Iteration[119/268], loss: 4.5678, nitc_loss: 3.7156, ss_loss: 0.8351, citc_loss: 0.0104, ritc_loss: 0.0067, Base Lr: 2.28e-05
Epoch[1] Iteration[120/268], loss: 4.6068, nitc_loss: 3.7034, ss_loss: 0.8529, citc_loss: 0.0110, ritc_loss: 0.0394, Base Lr: 2.30e-05
Epoch[1] Iteration[121/268], loss: 4.7093, nitc_loss: 3.8049, ss_loss: 0.9037, citc_loss: 0.0113, ritc_loss: -0.0106, Base Lr: 2.32e-05
Epoch[1] Iteration[122/268], loss: 4.5883, nitc_loss: 3.6877, ss_loss: 0.8767, citc_loss: 0.0117, ritc_loss: 0.0122, Base Lr: 2.34e-05
Epoch[1] Iteration[123/268], loss: 4.5939, nitc_loss: 3.7589, ss_loss: 0.8376, citc_loss: 0.0111, ritc_loss: -0.0136, Base Lr: 2.36e-05
Epoch[1] Iteration[124/268], loss: 4.5730, nitc_loss: 3.7510, ss_loss: 0.8123, citc_loss: 0.0112, ritc_loss: -0.0015, Base Lr: 2.38e-05
Epoch[1] Iteration[125/268], loss: 4.6402, nitc_loss: 3.7328, ss_loss: 0.8878, citc_loss: 0.0110, ritc_loss: 0.0087, Base Lr: 2.39e-05
Epoch[1] Iteration[126/268], loss: 4.5897, nitc_loss: 3.7500, ss_loss: 0.8378, citc_loss: 0.0106, ritc_loss: -0.0087, Base Lr: 2.41e-05
Epoch[1] Iteration[127/268], loss: 4.6658, nitc_loss: 3.8583, ss_loss: 0.8079, citc_loss: 0.0105, ritc_loss: -0.0108, Base Lr: 2.43e-05
Epoch[1] Iteration[128/268], loss: 4.7772, nitc_loss: 3.8831, ss_loss: 0.9389, citc_loss: 0.0112, ritc_loss: -0.0561, Base Lr: 2.45e-05
Epoch[1] Iteration[129/268], loss: 4.6917, nitc_loss: 3.8182, ss_loss: 0.8895, citc_loss: 0.0113, ritc_loss: -0.0273, Base Lr: 2.47e-05
Epoch[1] Iteration[130/268], loss: 4.5726, nitc_loss: 3.7321, ss_loss: 0.8497, citc_loss: 0.0111, ritc_loss: -0.0203, Base Lr: 2.49e-05
Epoch[1] Iteration[131/268], loss: 4.6294, nitc_loss: 3.7541, ss_loss: 0.8693, citc_loss: 0.0103, ritc_loss: -0.0043, Base Lr: 2.51e-05
Epoch[1] Iteration[132/268], loss: 4.7185, nitc_loss: 3.8461, ss_loss: 0.8858, citc_loss: 0.0111, ritc_loss: -0.0246, Base Lr: 2.52e-05
Epoch[1] Iteration[133/268], loss: 4.6594, nitc_loss: 3.8160, ss_loss: 0.8360, citc_loss: 0.0108, ritc_loss: -0.0034, Base Lr: 2.54e-05
Epoch[1] Iteration[134/268], loss: 4.5478, nitc_loss: 3.7158, ss_loss: 0.8129, citc_loss: 0.0114, ritc_loss: 0.0078, Base Lr: 2.56e-05
Epoch[1] Iteration[135/268], loss: 4.5665, nitc_loss: 3.7557, ss_loss: 0.7948, citc_loss: 0.0113, ritc_loss: 0.0048, Base Lr: 2.58e-05
Epoch[1] Iteration[136/268], loss: 4.7768, nitc_loss: 3.8939, ss_loss: 0.8602, citc_loss: 0.0115, ritc_loss: 0.0112, Base Lr: 2.60e-05
Epoch[1] Iteration[137/268], loss: 4.5299, nitc_loss: 3.6817, ss_loss: 0.8108, citc_loss: 0.0111, ritc_loss: 0.0263, Base Lr: 2.62e-05
Epoch[1] Iteration[138/268], loss: 4.7273, nitc_loss: 3.7976, ss_loss: 0.8955, citc_loss: 0.0109, ritc_loss: 0.0231, Base Lr: 2.64e-05
Epoch[1] Iteration[139/268], loss: 4.5482, nitc_loss: 3.7073, ss_loss: 0.8320, citc_loss: 0.0110, ritc_loss: -0.0020, Base Lr: 2.65e-05
Epoch[1] Iteration[140/268], loss: 4.5590, nitc_loss: 3.7881, ss_loss: 0.7372, citc_loss: 0.0110, ritc_loss: 0.0228, Base Lr: 2.67e-05
Epoch[1] Iteration[141/268], loss: 4.4642, nitc_loss: 3.7701, ss_loss: 0.7048, citc_loss: 0.0110, ritc_loss: -0.0218, Base Lr: 2.69e-05
Epoch[1] Iteration[142/268], loss: 4.6728, nitc_loss: 3.8254, ss_loss: 0.8465, citc_loss: 0.0115, ritc_loss: -0.0106, Base Lr: 2.71e-05
Epoch[1] Iteration[143/268], loss: 4.4700, nitc_loss: 3.7659, ss_loss: 0.7143, citc_loss: 0.0115, ritc_loss: -0.0216, Base Lr: 2.73e-05
Epoch[1] Iteration[144/268], loss: 4.4069, nitc_loss: 3.7481, ss_loss: 0.6770, citc_loss: 0.0114, ritc_loss: -0.0295, Base Lr: 2.75e-05
Epoch[1] Iteration[145/268], loss: 4.5721, nitc_loss: 3.8267, ss_loss: 0.7577, citc_loss: 0.0117, ritc_loss: -0.0240, Base Lr: 2.76e-05
Epoch[1] Iteration[146/268], loss: 4.4328, nitc_loss: 3.6268, ss_loss: 0.8167, citc_loss: 0.0112, ritc_loss: -0.0219, Base Lr: 2.78e-05
Epoch[1] Iteration[147/268], loss: 4.4104, nitc_loss: 3.7784, ss_loss: 0.6500, citc_loss: 0.0116, ritc_loss: -0.0296, Base Lr: 2.80e-05
Epoch[1] Iteration[148/268], loss: 4.6160, nitc_loss: 3.8835, ss_loss: 0.7691, citc_loss: 0.0111, ritc_loss: -0.0477, Base Lr: 2.82e-05
Epoch[1] Iteration[149/268], loss: 4.5216, nitc_loss: 3.8203, ss_loss: 0.7185, citc_loss: 0.0102, ritc_loss: -0.0274, Base Lr: 2.84e-05
Epoch[1] Iteration[150/268], loss: 4.5978, nitc_loss: 3.8536, ss_loss: 0.7525, citc_loss: 0.0111, ritc_loss: -0.0193, Base Lr: 2.86e-05
Epoch[1] Iteration[151/268], loss: 4.5020, nitc_loss: 3.7560, ss_loss: 0.7472, citc_loss: 0.0120, ritc_loss: -0.0132, Base Lr: 2.88e-05
Epoch[1] Iteration[152/268], loss: 4.5102, nitc_loss: 3.8630, ss_loss: 0.6513, citc_loss: 0.0112, ritc_loss: -0.0152, Base Lr: 2.89e-05
Epoch[1] Iteration[153/268], loss: 4.5428, nitc_loss: 3.7834, ss_loss: 0.7595, citc_loss: 0.0107, ritc_loss: -0.0108, Base Lr: 2.91e-05
Epoch[1] Iteration[154/268], loss: 4.4185, nitc_loss: 3.7211, ss_loss: 0.7218, citc_loss: 0.0119, ritc_loss: -0.0363, Base Lr: 2.93e-05
Epoch[1] Iteration[155/268], loss: 4.5551, nitc_loss: 3.7664, ss_loss: 0.7778, citc_loss: 0.0112, ritc_loss: -0.0002, Base Lr: 2.95e-05
Epoch[1] Iteration[156/268], loss: 4.6555, nitc_loss: 3.8188, ss_loss: 0.8483, citc_loss: 0.0118, ritc_loss: -0.0234, Base Lr: 2.97e-05
Epoch[1] Iteration[157/268], loss: 4.4925, nitc_loss: 3.7104, ss_loss: 0.7854, citc_loss: 0.0117, ritc_loss: -0.0150, Base Lr: 2.99e-05
