Epoch[1] Iteration[75/214], loss: 3.7837, nitc_loss: 3.9438, ritc_loss: -0.1601, Base Lr: 1.82e-05
Epoch[1] Iteration[76/214], loss: 3.6697, nitc_loss: 3.8542, ritc_loss: -0.1845, Base Lr: 1.84e-05
Epoch[1] Iteration[77/214], loss: 3.8228, nitc_loss: 3.9953, ritc_loss: -0.1724, Base Lr: 1.86e-05
Epoch[1] Iteration[78/214], loss: 3.7843, nitc_loss: 3.9449, ritc_loss: -0.1606, Base Lr: 1.89e-05
Epoch[1] Iteration[79/214], loss: 3.7666, nitc_loss: 3.9328, ritc_loss: -0.1662, Base Lr: 1.91e-05
Epoch[1] Iteration[80/214], loss: 3.7666, nitc_loss: 3.9738, ritc_loss: -0.2072, Base Lr: 1.93e-05
Epoch[1] Iteration[81/214], loss: 3.7705, nitc_loss: 3.9847, ritc_loss: -0.2142, Base Lr: 1.95e-05
Epoch[1] Iteration[82/214], loss: 3.7005, nitc_loss: 3.9122, ritc_loss: -0.2117, Base Lr: 1.98e-05
Epoch[1] Iteration[83/214], loss: 3.7476, nitc_loss: 3.9386, ritc_loss: -0.1910, Base Lr: 2.00e-05
Epoch[1] Iteration[84/214], loss: 3.7379, nitc_loss: 3.9311, ritc_loss: -0.1932, Base Lr: 2.02e-05
Epoch[1] Iteration[85/214], loss: 3.6181, nitc_loss: 3.8103, ritc_loss: -0.1922, Base Lr: 2.05e-05
Epoch[1] Iteration[86/214], loss: 3.6906, nitc_loss: 3.8646, ritc_loss: -0.1739, Base Lr: 2.07e-05
Epoch[1] Iteration[87/214], loss: 3.8374, nitc_loss: 3.9980, ritc_loss: -0.1606, Base Lr: 2.09e-05
Epoch[1] Iteration[88/214], loss: 3.7123, nitc_loss: 3.8892, ritc_loss: -0.1769, Base Lr: 2.12e-05
Epoch[1] Iteration[89/214], loss: 3.6469, nitc_loss: 3.8327, ritc_loss: -0.1858, Base Lr: 2.14e-05
Epoch[1] Iteration[90/214], loss: 3.7842, nitc_loss: 3.9402, ritc_loss: -0.1560, Base Lr: 2.16e-05
Epoch[1] Iteration[91/214], loss: 3.7094, nitc_loss: 3.8885, ritc_loss: -0.1791, Base Lr: 2.19e-05
Epoch[1] Iteration[92/214], loss: 3.7475, nitc_loss: 3.9221, ritc_loss: -0.1746, Base Lr: 2.21e-05
Epoch[1] Iteration[93/214], loss: 3.7393, nitc_loss: 3.9266, ritc_loss: -0.1873, Base Lr: 2.23e-05
Epoch[1] Iteration[94/214], loss: 3.7578, nitc_loss: 3.9200, ritc_loss: -0.1622, Base Lr: 2.26e-05
Epoch[1] Iteration[95/214], loss: 3.6932, nitc_loss: 3.9037, ritc_loss: -0.2105, Base Lr: 2.28e-05
Epoch[1] Iteration[96/214], loss: 3.7535, nitc_loss: 3.9279, ritc_loss: -0.1743, Base Lr: 2.30e-05
