Epoch[1] Iteration[84/1608], loss: 3.5562, nitc_loss: 2.2619, ritc_loss: 1.2943, Base Lr: 3.56e-06
Epoch[1] Iteration[85/1608], loss: 3.0566, nitc_loss: 1.8751, ritc_loss: 1.1814, Base Lr: 3.59e-06
Epoch[1] Iteration[86/1608], loss: 2.8213, nitc_loss: 1.7686, ritc_loss: 1.0528, Base Lr: 3.62e-06
Epoch[1] Iteration[87/1608], loss: 3.2337, nitc_loss: 1.9616, ritc_loss: 1.2721, Base Lr: 3.65e-06
Epoch[1] Iteration[88/1608], loss: 3.3487, nitc_loss: 2.0746, ritc_loss: 1.2741, Base Lr: 3.68e-06
Epoch[1] Iteration[89/1608], loss: 3.4001, nitc_loss: 2.1435, ritc_loss: 1.2565, Base Lr: 3.71e-06
Epoch[1] Iteration[90/1608], loss: 3.7445, nitc_loss: 2.3579, ritc_loss: 1.3866, Base Lr: 3.74e-06
Epoch[1] Iteration[91/1608], loss: 3.3060, nitc_loss: 2.0320, ritc_loss: 1.2740, Base Lr: 3.77e-06
Epoch[1] Iteration[92/1608], loss: 3.2882, nitc_loss: 2.0372, ritc_loss: 1.2511, Base Lr: 3.80e-06
Epoch[1] Iteration[93/1608], loss: 3.7920, nitc_loss: 2.3854, ritc_loss: 1.4066, Base Lr: 3.83e-06
Epoch[1] Iteration[94/1608], loss: 3.0206, nitc_loss: 1.8865, ritc_loss: 1.1341, Base Lr: 3.86e-06
Epoch[1] Iteration[95/1608], loss: 3.5332, nitc_loss: 2.1845, ritc_loss: 1.3487, Base Lr: 3.89e-06
Epoch[1] Iteration[96/1608], loss: 3.0187, nitc_loss: 1.8115, ritc_loss: 1.2072, Base Lr: 3.93e-06
Epoch[1] Iteration[97/1608], loss: 3.5442, nitc_loss: 2.1811, ritc_loss: 1.3631, Base Lr: 3.96e-06
Epoch[1] Iteration[98/1608], loss: 3.1869, nitc_loss: 1.9460, ritc_loss: 1.2409, Base Lr: 3.99e-06
Epoch[1] Iteration[99/1608], loss: 2.9206, nitc_loss: 1.7442, ritc_loss: 1.1764, Base Lr: 4.02e-06
Epoch[1] Iteration[100/1608], loss: 3.3420, nitc_loss: 2.0186, ritc_loss: 1.3233, Base Lr: 4.05e-06
Epoch[1] Iteration[101/1608], loss: 3.3261, nitc_loss: 2.0453, ritc_loss: 1.2807, Base Lr: 4.08e-06
Epoch[1] Iteration[102/1608], loss: 3.5692, nitc_loss: 2.2537, ritc_loss: 1.3155, Base Lr: 4.11e-06
Epoch[1] Iteration[103/1608], loss: 3.8159, nitc_loss: 2.4201, ritc_loss: 1.3958, Base Lr: 4.14e-06
Epoch[1] Iteration[104/1608], loss: 3.4171, nitc_loss: 2.1111, ritc_loss: 1.3060, Base Lr: 4.17e-06
Epoch[1] Iteration[105/1608], loss: 3.5960, nitc_loss: 2.3323, ritc_loss: 1.2637, Base Lr: 4.20e-06
Epoch[1] Iteration[106/1608], loss: 3.2314, nitc_loss: 2.0031, ritc_loss: 1.2283, Base Lr: 4.23e-06
Epoch[1] Iteration[107/1608], loss: 3.7893, nitc_loss: 2.4037, ritc_loss: 1.3855, Base Lr: 4.26e-06
Epoch[1] Iteration[108/1608], loss: 3.3455, nitc_loss: 2.0776, ritc_loss: 1.2680, Base Lr: 4.29e-06
Epoch[1] Iteration[109/1608], loss: 3.6377, nitc_loss: 2.3228, ritc_loss: 1.3149, Base Lr: 4.33e-06
Epoch[1] Iteration[110/1608], loss: 3.3723, nitc_loss: 2.0827, ritc_loss: 1.2896, Base Lr: 4.36e-06
Epoch[1] Iteration[111/1608], loss: 3.5906, nitc_loss: 2.2496, ritc_loss: 1.3410, Base Lr: 4.39e-06
Epoch[1] Iteration[112/1608], loss: 3.5098, nitc_loss: 2.1271, ritc_loss: 1.3827, Base Lr: 4.42e-06
Epoch[1] Iteration[113/1608], loss: 3.2091, nitc_loss: 1.9632, ritc_loss: 1.2458, Base Lr: 4.45e-06
Epoch[1] Iteration[114/1608], loss: 3.7120, nitc_loss: 2.3761, ritc_loss: 1.3359, Base Lr: 4.48e-06
Epoch[1] Iteration[115/1608], loss: 3.1029, nitc_loss: 1.8835, ritc_loss: 1.2195, Base Lr: 4.51e-06
Epoch[1] Iteration[116/1608], loss: 3.7354, nitc_loss: 2.3605, ritc_loss: 1.3749, Base Lr: 4.54e-06
Epoch[1] Iteration[126/1608], loss: 3.4951, nitc_loss: 2.1687, ritc_loss: 1.3264, Base Lr: 4.85e-06
Epoch[1] Iteration[118/1608], loss: 3.6584, nitc_loss: 2.3019, ritc_loss: 1.3566, Base Lr: 4.60e-06
Epoch[1] Iteration[119/1608], loss: 3.6524, nitc_loss: 2.2837, ritc_loss: 1.3687, Base Lr: 4.63e-06
